t[s],Relative error in y,vy[m/s],x[m],ay[m/s]
0.1320000000000001,6.519062701270328e-05,-1.293572398956059,0.0,-9.786051712996073
0.1330000000000001,6.569171246171384e-05,-1.3033584506690552,0.0,-9.785740395176102
0.1340000000000001,6.61929631491015e-05,-1.3131441910642314,0.0,-9.78542674108506
0.1350000000000001,6.669438038890471e-05,-1.3229296178053165,0.0,-9.785110751022584
0.1360000000000001,6.71959654942562e-05,-1.332714728556339,0.0,-9.78479242529054
0.1370000000000001,6.769771978241488e-05,-1.3424995209816295,0.0,-9.78447176419301
0.1380000000000001,6.819964456993942e-05,-1.3522839927458226,0.0,-9.784148768036301
0.1390000000000001,6.870174117879777e-05,-1.362068141513859,0.0,-9.783823437128945
0.1400000000000001,6.920401093046415e-05,-1.371851964950988,0.0,-9.783495771781686
0.1410000000000001,6.970645514628978e-05,-1.3816354607227697,0.0,-9.783165772307498
0.1420000000000001,7.020907515325682e-05,-1.3914186264950772,0.0,-9.782833439021571
0.1430000000000001,7.071187227538122e-05,-1.4012014599340987,0.0,-9.782498772241311
0.1440000000000001,7.121484784305564e-05,-1.41098395870634,0.0,-9.782161772286349
0.1450000000000001,7.171800318750203e-05,-1.4207661204786264,0.0,-9.781822439478526
0.1460000000000001,7.22213396382714e-05,-1.430547942918105,0.0,-9.781480774141906
0.1470000000000001,7.272485853007805e-05,-1.4403294236922468,0.0,-9.781136776602768
0.1480000000000001,7.322856119976291e-05,-1.4501105604688496,0.0,-9.780790447189604
0.1490000000000001,7.373244898343418e-05,-1.4598913509160392,0.0,-9.780441786233126
0.1500000000000001,7.423652322114954e-05,-1.4696717927022722,0.0,-9.780090794066258
0.1510000000000001,7.474078525423697e-05,-1.4794518834963384,0.0,-9.779737471024134
0.1520000000000001,7.524523642440977e-05,-1.4892316209673626,0.0,-9.779381817444108
0.1530000000000001,7.57498780764752e-05,-1.4990110027848067,0.0,-9.779023833665743
0.1540000000000001,7.625471155924807e-05,-1.5087900266184724,0.0,-9.778663520030813
0.1550000000000001,7.675973821945443e-05,-1.5185686901385032,0.0,-9.778300876883305
0.1560000000000001,7.72649594089345e-05,-1.5283469910153864,0.0,-9.777935904569414
0.1570000000000001,7.777037648016358e-05,-1.5381249269199557,0.0,-9.777568603437546
0.1580000000000001,7.827599078698481e-05,-1.5479024955233933,0.0,-9.777198973838317
0.1590000000000001,7.878180368678146e-05,-1.5576796944972315,0.0,-9.77682701612455
0.16000000000000011,7.928781653527516e-05,-1.567456521513356,0.0,-9.776452730651274
0.16100000000000012,7.979403069751341e-05,-1.5772329742440072,0.0,-9.776076117775728
0.16200000000000012,8.030044753277283e-05,-1.5870090503617829,0.0,-9.775697177857355
0.16300000000000012,8.080706840608692e-05,-1.5967847475396402,0.0,-9.775315911257803
0.16400000000000012,8.131389468574323e-05,-1.606560063450898,0.0,-9.774932318340927
0.16500000000000012,8.182092773861748e-05,-1.616334995769239,0.0,-9.774546399472783
0.16600000000000012,8.23281689352276e-05,-1.6261095421687117,0.0,-9.774158155021631
0.16700000000000012,8.283561964830866e-05,-1.6358837003237334,0.0,-9.773767585357936
0.16800000000000012,8.334328125372844e-05,-1.6456574679090914,0.0,-9.773374690854359
0.16900000000000012,8.38511551297822e-05,-1.6554308425999458,0.0,-9.772979471885767
0.17000000000000012,8.435924265288284e-05,-1.6652038220718315,0.0,-9.772581928829227
0.17100000000000012,8.486754520514211e-05,-1.6749764040006607,0.0,-9.772182062064003
0.17200000000000013,8.537606417042264e-05,-1.6847485860627247,0.0,-9.771779871971555
0.17300000000000013,8.58848009345327e-05,-1.6945203659346963,0.0,-9.771375358935549
0.17400000000000013,8.639375688596224e-05,-1.7042917412936318,0.0,-9.770968523341839
0.17500000000000013,8.690293341247157e-05,-1.7140627098169736,0.0,-9.770559365578482
0.17600000000000013,8.741233190795847e-05,-1.7238332691825522,0.0,-9.770147886035728
0.17700000000000013,8.792195376670326e-05,-1.733603417068588,0.0,-9.76973408510602
0.17800000000000013,8.843180038626954e-05,-1.7433731511536938,0.0,-9.769317963183996
0.17900000000000013,8.894187316499346e-05,-1.7531424691168778,0.0,-9.768899520666489
0.18000000000000013,8.945217350326114e-05,-1.7629113686375442,0.0,-9.768478757952524
