t[s],Relative error in y,vy[m/s],Relative error in x,vx[m/s]
0.0,0.0,0.0,,10.0
0.01,4.9035252500566775e-05,-0.0980655,0.0011026550580506395,9.98775
0.02,9.808513004898483e-05,-0.19612982193681944,0.00159147008111797,9.975529994117345
0.03,0.00014716407493868287,-0.29419060974070543,0.002079448252066066,9.963339872281061
0.04,0.0001962865565816881,-0.3922455075966351,0.002566591923277604,9.951179524958265
0.05,0.0002454670850833294,-0.490292160170702,0.003052903436760824,9.939048843150866
0.060000000000000005,0.0002947202248920263,-0.5883282128364172,0.0035383851257021403,9.926947718392315
0.07,0.00034406060856420124,-0.6863513119008798,0.004023039313955915,9.914876042744362
0.08,0.00039350295065841386,-0.7843591048307696,0.004506868316626723,9.902833708793846
0.09,0.0004430620618017345,-0.8823492404781166,0.004989874439293299,9.890820609649504
0.09999999999999999,0.000492752862941873,-0.9803193693058004,0.005472059978628122,9.878836638938802
0.10999999999999999,0.0005425903998161086,-1.0782671436127356,0.005953427222211021,9.866881690804794
0.11999999999999998,0.0005925898576859972,-1.1761902177586938,0.0064339784489097765,9.854955659903002
0.12999999999999998,0.0006427665763449077,-1.2740862483887208,0.0069137159284138995,9.843058441398316
0.13999999999999999,0.0006931360654400996,-1.3719528946571,0.007392641921628466,9.831189930961921
0.15,0.0007437140201470341,-1.4697878184508182,0.007870758680630916,9.819350024768237
0.16,0.0007945163372215902,-1.567588684612488,0.008348068448658671,9.807538619491895
0.17,0.0008455591314744143,-1.6653531611626826,0.008824573460380914,9.795755612304724
0.18000000000000002,0.0008968587526982614,-1.7630789195216368,0.009300275941596521,9.784000900872764
0.19000000000000003,0.0009484318030865368,-1.8607636347302703,0.009775178109512736,9.772274383353299
0.20000000000000004,0.001000295155185212,-1.9584049856704893,0.0102492821726841,9.760575958391914
0.21000000000000005,0.0010524659704329714,-2.0560006552847216,0.010722590331236903,9.748905525119572
0.22000000000000006,0.0011049617183042776,-2.1535483307946417,0.01119510477663676,9.737262983149703
0.23000000000000007,0.001157800196138351,-2.251045703919041,0.01166682769191791,9.725648232575333
0.24000000000000007,0.0012109995496761494,-2.348490471090802,0.012137761251677395,9.714061173966218
0.25000000000000006,0.0012645782943734307,-2.4458803336729336,0.012607907622082946,9.702501708366002
0.26000000000000006,0.001318555337531925,-2.5432129981736193,0.013077268961058125,9.690969737289398
0.2700000000000001,0.001372950001326725,-2.6404861764602447,0.013545847418105949,9.679465162719389
0.2800000000000001,0.0014277820467684063,-2.7376975859723554,0.014013645134497531,9.667987887104442
0.2900000000000001,0.001483071698687944,-2.834844949933506,0.014480664243244798,9.656537813355754
0.3000000000000001,0.0015388396717972296,-2.931925997561961,0.014946906869266247,9.64511484484451
0.3100000000000001,0.0015951071979077606,-3.0289384642802015,0.015412375129239325,9.633718885399157
0.3200000000000001,0.0016518960543895186,-3.125880091923203,0.015877071131767537,9.622349839302702
