#  x     x-floor(x+0.5)     xsum
  0.19850   0.19850   0.18558
  0.19950   0.19950   0.18753
  0.20050   0.20050   0.18953
  0.20150   0.20150   0.19157
  0.20250   0.20250   0.19366
  0.20350   0.20350   0.19578
  0.20450   0.20450   0.19793
  0.20550   0.20550   0.20011
  0.20650   0.20650   0.20232
  0.20750   0.20750   0.20455
  0.20850   0.20850   0.20679
  0.20950   0.20950   0.20905
  0.21050   0.21050   0.21132
  0.21150   0.21150   0.21358
  0.21250   0.21250   0.21585
  0.21350   0.21350   0.21811
  0.21450   0.21450   0.22036
  0.21550   0.21550   0.22260
  0.21650   0.21650   0.22482
  0.21750   0.21750   0.22701
  0.21850   0.21850   0.22917
  0.21950   0.21950   0.23130
  0.22050   0.22050   0.23340
  0.22150   0.22150   0.23546
  0.22250   0.22250   0.23747
  0.22350   0.22350   0.23943
  0.22450   0.22450   0.24134
  0.22550   0.22550   0.24319
  0.22650   0.22650   0.24499
  0.22750   0.22750   0.24672
  0.22850   0.22850   0.24839
  0.22950   0.22950   0.24999
  0.23050   0.23050   0.25152
  0.23150   0.23150   0.25297
  0.23250   0.23250   0.25435
  0.23350   0.23350   0.25566
  0.23450   0.23450   0.25689
  0.23550   0.23550   0.25804
  0.23650   0.23650   0.25910
  0.23750   0.23750   0.26009
  0.23850   0.23850   0.26100
  0.23950   0.23950   0.26182
  0.24050   0.24050   0.26256
  0.24150   0.24150   0.26323
  0.24250   0.24250   0.26381
  0.24350   0.24350   0.26431
  0.24450   0.24450   0.26474
  0.24550   0.24550   0.26508
  0.24650   0.24650   0.26536
  0.24750   0.24750   0.26556
  0.24850   0.24850   0.26569
  0.24950   0.24950   0.26576
  0.25050   0.25050   0.26576
  0.25150   0.25150   0.26569
  0.25250   0.25250   0.26558
  0.25350   0.25350   0.26540
  0.25450   0.25450   0.26518
  0.25550   0.25550   0.26491
  0.25650   0.25650   0.26460
  0.25750   0.25750   0.26425
  0.25850   0.25850   0.26387
  0.25950   0.25950   0.26345
  0.26050   0.26050   0.26302
  0.26150   0.26150   0.26257
  0.26250   0.26250   0.26210
  0.26350   0.26350   0.26162
  0.26450   0.26450   0.26115
  0.26550   0.26550   0.26067
  0.26650   0.26650   0.26020
  0.26750   0.26750   0.25974
  0.26850   0.26850   0.25930
  0.26950   0.26950   0.25889
  0.27050   0.27050   0.25850
  0.27150   0.27150   0.25815
  0.27250   0.27250   0.25783
  0.27350   0.27350   0.25756
  0.27450   0.27450   0.25733
  0.27550   0.27550   0.25716
  0.27650   0.27650   0.25705
  0.27750   0.27750   0.25700
  0.27850   0.27850   0.25701
  0.27950   0.27950   0.25710
  0.28050   0.28050   0.25726
  0.28150   0.28150   0.25750
  0.28250   0.28250   0.25782
  0.28350   0.28350   0.25822
  0.28450   0.28450   0.25871
  0.28550   0.28550   0.25928
  0.28650   0.28650   0.25995
  0.28750   0.28750   0.26072
  0.28850   0.28850   0.26157
  0.28950   0.28950   0.26253
  0.29050   0.29050   0.26358
  0.29150   0.29150   0.26473
  0.29250   0.29250   0.26598
  0.29350   0.29350   0.26732
  0.29450   0.29450   0.26876
  0.29550   0.29550   0.27030
  0.29650   0.29650   0.27194
  0.29750   0.29750   0.27367
  0.29850   0.29850   0.27549
