#  x     x-floor(x+0.5)     xsum
  0.00050   0.00050   0.00099
  0.00150   0.00150   0.00279
  0.00250   0.00250   0.00410
  0.00350   0.00350   0.00480
  0.00450   0.00450   0.00502
  0.00550   0.00550   0.00503
  0.00650   0.00650   0.00523
  0.00750   0.00750   0.00590
  0.00850   0.00850   0.00718
  0.00950   0.00950   0.00896
  0.01050   0.01050   0.01094
  0.01150   0.01150   0.01276
  0.01250   0.01250   0.01410
  0.01350   0.01350   0.01483
  0.01450   0.01450   0.01506
  0.01550   0.01550   0.01508
  0.01650   0.01650   0.01525
  0.01750   0.01750   0.01590
  0.01850   0.01850   0.01715
  0.01950   0.01950   0.01891
  0.02050   0.02050   0.02090
  0.02150   0.02150   0.02273
  0.02250   0.02250   0.02410
  0.02350   0.02350   0.02486
  0.02450   0.02450   0.02511
  0.02550   0.02550   0.02513
  0.02650   0.02650   0.02528
  0.02750   0.02750   0.02590
  0.02850   0.02850   0.02712
  0.02950   0.02950   0.02887
  0.03050   0.03050   0.03085
  0.03150   0.03150   0.03270
  0.03250   0.03250   0.03410
  0.03350   0.03350   0.03489
  0.03450   0.03450   0.03516
  0.03550   0.03550   0.03518
  0.03650   0.03650   0.03531
  0.03750   0.03750   0.03590
  0.03850   0.03850   0.03709
  0.03950   0.03950   0.03882
  0.04050   0.04050   0.04080
  0.04150   0.04150   0.04267
  0.04250   0.04250   0.04410
  0.04350   0.04350   0.04492
  0.04450   0.04450   0.04521
  0.04550   0.04550   0.04522
  0.04650   0.04650   0.04534
  0.04750   0.04750   0.04590
  0.04850   0.04850   0.04706
  0.04950   0.04950   0.04877
  0.05050   0.05050   0.05075
  0.05150   0.05150   0.05264
  0.05250   0.05250   0.05410
  0.05350   0.05350   0.05495
  0.05450   0.05450   0.05526
  0.05550   0.05550   0.05527
  0.05650   0.05650   0.05537
  0.05750   0.05750   0.05590
  0.05850   0.05850   0.05703
  0.05950   0.05950   0.05872
  0.06050   0.06050   0.06070
  0.06150   0.06150   0.06261
  0.06250   0.06250   0.06410
  0.06350   0.06350   0.06498
  0.06450   0.06450   0.06531
  0.06550   0.06550   0.06532
  0.06650   0.06650   0.06540
  0.06750   0.06750   0.06590
  0.06850   0.06850   0.06700
  0.06950   0.06950   0.06867
  0.07050   0.07050   0.07065
  0.07150   0.07150   0.07258
  0.07250   0.07250   0.07410
  0.07350   0.07350   0.07501
  0.07450   0.07450   0.07536
  0.07550   0.07550   0.07537
  0.07650   0.07650   0.07543
  0.07750   0.07750   0.07590
  0.07850   0.07850   0.07697
  0.07950   0.07950   0.07862
  0.08050   0.08050   0.08060
  0.08150   0.08150   0.08255
  0.08250   0.08250   0.08410
  0.08350   0.08350   0.08505
  0.08450   0.08450   0.08541
  0.08550   0.08550   0.08542
  0.08650   0.08650   0.08547
  0.08750   0.08750   0.08590
  0.08850   0.08850   0.08694
  0.08950   0.08950   0.08857
  0.09050   0.09050   0.09055
  0.09150   0.09150   0.09252
  0.09250   0.09250   0.09410
  0.09350   0.09350   0.09508
  0.09450   0.09450   0.09546
  0.09550   0.09550   0.09547
  0.09650   0.09650   0.09550
  0.09750   0.09750   0.09590
  0.09850   0.09850   0.09691
  0.09950   0.09950   0.09852
  0.10050   0.10050   0.10050
  0.10150   0.10150   0.10249
  0.10250   0.10250   0.10410
  0.10350   0.10350   0.10511
  0.10450   0.10450   0.10551
  0.10550   0.10550   0.10553
  0.10650   0.10650   0.10553
  0.10750   0.10750   0.10590
  0.10850   0.10850   0.10687
  0.10950   0.10950   0.10846
  0.11050   0.11050   0.11045
  0.11150   0.11150   0.11245
  0.11250   0.11250   0.11410
  0.11350   0.11350   0.11514
  0.11450   0.11450   0.11556
  0.11550   0.11550   0.11558
  0.11650   0.11650   0.11556
  0.11750   0.11750   0.11590
  0.11850   0.11850   0.11684
  0.11950   0.11950   0.11841
  0.12050   0.12050   0.12039
  0.12150   0.12150   0.12242
  0.12250   0.12250   0.12410
  0.12350   0.12350   0.12518
  0.12450   0.12450   0.12562
  0.12550   0.12550   0.12564
  0.12650   0.12650   0.12560
  0.12750   0.12750   0.12590
  0.12850   0.12850   0.12681
  0.12950   0.12950   0.12835
  0.13050   0.13050   0.13034
  0.13150   0.13150   0.13239
  0.13250   0.13250   0.13410
  0.13350   0.13350   0.13521
  0.13450   0.13450   0.13568
  0.13550   0.13550   0.13569
  0.13650   0.13650   0.13563
  0.13750   0.13750   0.13590
  0.13850   0.13850   0.13677
  0.13950   0.13950   0.13830
  0.14050   0.14050   0.14028
  0.14150   0.14150   0.14235
  0.14250   0.14250   0.14410
  0.14350   0.14350   0.14525
  0.14450   0.14450   0.14573
  0.14550   0.14550   0.14575
  0.14650   0.14650   0.14567
  0.14750   0.14750   0.14590
  0.14850   0.14850   0.14673
  0.14950   0.14950   0.14824
  0.15050   0.15050   0.15022
  0.15150   0.15150   0.15231
  0.15250   0.15250   0.15410
  0.15350   0.15350   0.15529
  0.15450   0.15450   0.15579
  0.15550   0.15550   0.15581
  0.15650   0.15650   0.15571
  0.15750   0.15750   0.15590
  0.15850   0.15850   0.15670
  0.15950   0.15950   0.15818
  0.16050   0.16050   0.16016
  0.16150   0.16150   0.16228
  0.16250   0.16250   0.16410
  0.16350   0.16350   0.16532
  0.16450   0.16450   0.16586
  0.16550   0.16550   0.16587
  0.16650   0.16650   0.16574
  0.16750   0.16750   0.16590
  0.16850   0.16850   0.16666
  0.16950   0.16950   0.16811
  0.17050   0.17050   0.17010
  0.17150   0.17150   0.17224
  0.17250   0.17250   0.17410
  0.17350   0.17350   0.17536
  0.17450   0.17450   0.17592
  0.17550   0.17550   0.17594
  0.17650   0.17650   0.17578
  0.17750   0.17750   0.17590
  0.17850   0.17850   0.17662
  0.17950   0.17950   0.17805
  0.18050   0.18050   0.18003
