t[s],Relative error in y,vy[m/s],x[m],vx[m/s]
0.8420000000000006,0.011648836570215105,-2.3793547836783495,6.080720694341456,4.718064945931283
0.8430000000000006,0.011680511967132778,-2.3890073181884937,6.085438759287387,4.717759545875434
0.8440000000000006,0.011712262427397837,-2.398659108459398,6.090156518833262,4.717453929737844
0.8450000000000006,0.01174408815158684,-2.4083101531644275,6.094873972763,4.717148096757132
0.8460000000000006,0.011775989340776593,-2.4179604509733115,6.099591120859757,4.716842046174333
0.8470000000000006,0.011807966196536655,-2.4276100005521593,6.104307962905931,4.716535777232895
0.8480000000000006,0.011840018920945704,-2.4372588005634817,6.109024498683164,4.716229289178683
0.8490000000000006,0.011872147716577547,-2.4469068496662087,6.113740727972343,4.7159225812599725
0.8500000000000006,0.011904352786514022,-2.4565541465157095,6.118456650553603,4.715615652727455
0.8510000000000006,0.011936634334337826,-2.4662006897638107,6.12317226620633,4.715308502834233
0.8520000000000006,0.011968992564142255,-2.4758464780588154,6.127887574709164,4.715001130835822
0.8530000000000006,0.012001427680524951,-2.485491510045523,6.13260257584,4.7146935359901505
0.8540000000000006,0.012033939888595845,-2.4951357843652464,6.13731726937599,4.7143857175575565
0.8550000000000006,0.012066529393972422,-2.504779299655833,6.142031655093548,4.714077674800789
0.8560000000000006,0.012099196402785875,-2.514422054551682,6.146745732768348,4.713769406985007
0.8570000000000007,0.012131941121683937,-2.5240640476837632,6.151459502175333,4.713460913377777
0.8580000000000007,0.012164763757825102,-2.533705277679637,6.156172963088711,4.713152193249077
0.8590000000000007,0.012197664518888573,-2.543345743163472,6.16088611528196,4.712843245871289
0.8600000000000007,0.012230643613069568,-2.552985442756064,6.165598958527831,4.712534070519201
0.8610000000000007,0.012263701249083839,-2.5626243750748547,6.1703114925983495,4.712224666470008
0.8620000000000007,0.012296837636169022,-2.572262538733951,6.1750237172648195,4.711915033003309
0.8630000000000007,0.012330052984085101,-2.5818999323441423,6.179735632297823,4.711605169401104
0.8640000000000007,0.012363347503116833,-2.5915365545129196,6.184447237467224,4.711295074947798
0.8650000000000007,0.012396721404075278,-2.601172403844495,6.189158532542172,4.710984748930193
0.8660000000000007,0.012430174898301304,-2.610807478939819,6.193869517291103,4.710674190637494
0.8670000000000007,0.012463708197660009,-2.620441778396598,6.19858019148174,4.710363399361301
0.8680000000000007,0.012497321514552724,-2.630075300809316,6.203290554881102,4.710052374395613
0.8690000000000007,0.012531015061911756,-2.63970804476925,6.208000607255498,4.709741115036824
0.8700000000000007,0.012564789053199524,-2.6493400088644887,6.212710348370535,4.7094296205837205
0.8710000000000007,0.012598643702420588,-2.658971191679953,6.217419777991118,4.709117890337483
0.8720000000000007,0.012632579224113682,-2.6686015917974113,6.222128895881456,4.708805923601681
0.8730000000000007,0.012666595833355878,-2.6782312077954997,6.226837701805057,4.708493719682276
0.8740000000000007,0.012700693745766297,-2.687860038249739,6.231546195524739,4.708181277887616
0.8750000000000007,0.012734873177505292,-2.697488081732554,6.236254376802627,4.707868597528433
0.8760000000000007,0.012769134345279843,-2.7071153368132905,6.240962245400156,4.707555677917847
0.8770000000000007,0.0128034774663385,-2.7167418020582343,6.245669801078074,4.707242518371357
0.8780000000000007,0.012837902758483026,-2.726367476030628,6.250377043596445,4.706929118206845
0.8790000000000007,0.012872410440057127,-2.735992357290691,6.255083972714652,4.70661547674457
0.8800000000000007,0.012907000729960679,-2.745616444395634,6.259790588191397,4.70630159330717
0.8810000000000007,0.012941673847644105,-2.7552397358996816,6.264496889784704,4.705987467219658
0.8820000000000007,0.0129764300131126,-2.764862230354086,6.2692028772519235,4.7056730978094174
0.8830000000000007,0.013011269446926585,-2.774483926307146,6.2739085503497325,4.705358484406205
0.8840000000000007,0.01304619237020565,-2.7841048223042266,6.278613908834139,4.705043626342146
0.8850000000000007,0.013081199004627196,-2.7937249168877742,6.283318952460481,4.704728522951732
0.8860000000000007,0.013116289572430247,-2.803344208597336,6.288023680983432,4.70441317357182
0.8870000000000007,0.013151464296418365,-2.8129626959695755,6.292728094157004,4.704097577541629
0.8880000000000007,0.013186723399956935,-2.8225803775382934,6.297432191734546,4.703781734202739
0.8890000000000007,0.013222067106980812,-2.8321972518344425,6.302135973468749,4.703465642899087
0.8900000000000007,0.013257495641992384,-2.8418133173861455,6.3068394391116485,4.703149302976968
0.8910000000000007,0.013293009230062542,-2.8514285727187136,6.311542588414626,4.702832713785027
0.8920000000000007,0.013328608096836054,-2.8610430163546625,6.316245421128411,4.702515874674264
0.8930000000000007,0.013364292468531195,-2.8706566468137313,6.320947937003085,4.702198784998024
0.8940000000000007,0.013400062571941176,-2.8802694626128984,6.325650135788083,4.701881444112001
0.8950000000000007,0.013435918634438196,-2.8898814622663997,6.330352017232196,4.70156385137423
0.8960000000000007,0.013471860883970786,-2.899492644285745,6.33505358108357,4.70124600614509
0.8970000000000007,0.013507889549073511,-2.909103007179737,6.339754827089715,4.700927907787297
0.8980000000000007,0.013544004858860216,-2.9187125494544848,6.344455754997503,4.7006095556659035
0.8990000000000007,0.01358020704302932,-2.9283212696134253,6.349156364553169,4.700290949148296
0.9000000000000007,0.013616496331868372,-2.9379291661573372,6.353856655502317,4.6999720876041895
